pair_id,domain,layer,head,head_label,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
65,product,4,1,L4H1,1.6421585083007812,1.0647048950195312,1.070098876953125,0.57745361328125,0.00934097875488849
65,product,4,2,L4H2,1.6421585083007812,1.0647048950195312,1.07275390625,0.57745361328125,0.013938801395201353
65,product,4,3,L4H3,1.6421585083007812,1.0647048950195312,1.0655670166015625,0.57745361328125,0.0014929711446992919
65,product,4,4,L4H4,1.6421585083007812,1.0647048950195312,1.0659713745117188,0.57745361328125,0.002193214247965331
65,product,4,5,L4H5,1.6421585083007812,1.0647048950195312,1.061065673828125,0.57745361328125,-0.006302187929394356
65,product,4,6,L4H6,1.6421585083007812,1.0647048950195312,1.06964111328125,0.57745361328125,0.008548250713455238
65,product,4,7,L4H7,1.6421585083007812,1.0647048950195312,1.045684814453125,0.57745361328125,-0.032937850121551634
65,product,4,8,L4H8,1.6421585083007812,1.0647048950195312,1.071624755859375,0.57745361328125,0.011983405559665997
65,product,4,9,L4H9,1.6421585083007812,1.0647048950195312,1.062835693359375,0.57745361328125,-0.003236972835852447
65,product,4,10,L4H10,1.6421585083007812,1.0647048950195312,1.0629730224609375,0.57745361328125,-0.002999154423422471
65,product,4,11,L4H11,1.6421585083007812,1.0647048950195312,1.0712127685546875,0.57745361328125,0.01126995032237607
65,product,5,0,L5H0,1.6421585083007812,1.0647048950195312,1.0656204223632812,0.57745361328125,0.0015854560828665045
65,product,5,1,L5H1,1.6421585083007812,1.0647048950195312,1.064605712890625,0.57745361328125,-0.000171757742310538
65,product,5,2,L5H2,1.6421585083007812,1.0647048950195312,1.0683670043945312,0.57745361328125,0.006341824331466018
65,product,5,3,L5H3,1.6421585083007812,1.0647048950195312,1.0581817626953125,0.57745361328125,-0.011296374590423845
65,product,5,4,L5H4,1.6421585083007812,1.0647048950195312,1.0687942504882812,0.57745361328125,0.007081703836803721
65,product,5,5,L5H5,1.6421585083007812,1.0647048950195312,1.0648040771484375,0.57745361328125,0.000171757742310538
65,product,5,6,L5H6,1.6421585083007812,1.0647048950195312,1.0655059814453125,0.57745361328125,0.0013872740725081915
65,product,5,7,L5H7,1.6421585083007812,1.0647048950195312,1.0549697875976562,0.57745361328125,-0.0168586830144805
65,product,5,8,L5H8,1.6421585083007812,1.0647048950195312,1.0676345825195312,0.57745361328125,0.005073459465172815
65,product,5,9,L5H9,1.6421585083007812,1.0647048950195312,1.0647125244140625,0.57745361328125,1.3212134023887538e-05
65,product,5,10,L5H10,1.6421585083007812,1.0647048950195312,1.064544677734375,0.57745361328125,-0.0002774548145016383
65,product,5,11,L5H11,1.6421585083007812,1.0647048950195312,1.072265625,0.57745361328125,0.01309322481767255
65,product,6,0,L6H0,1.6421585083007812,1.0647048950195312,1.069854736328125,0.57745361328125,0.008918190466124088
65,product,6,1,L6H1,1.6421585083007812,1.0647048950195312,1.082611083984375,0.57745361328125,0.03100887855406405
65,product,6,2,L6H2,1.6421585083007812,1.0647048950195312,1.0649642944335938,0.57745361328125,0.0004492125568121763
