rank,layer,head,head_label,mean_recovery,median_recovery,std_recovery,min_recovery,max_recovery,positive_recovery_fraction,strong_recovery_fraction,full_recovery_fraction,n_pairs
107,0,0,L0H0,-0.0007819397829290461,0.00033458522975905573,0.007992871504133945,-0.05105394378966455,0.012206756733734262,0.55,0.0,0.0,60
108,1,11,L1H11,-0.0009870506883633402,-0.001433328497731951,0.003368561087912191,-0.007280055937152963,0.011606353551772322,0.35,0.0,0.0,60
109,2,11,L2H11,-0.0010458813415640355,-0.0011484318952269708,0.0030219351440109944,-0.008865341930028537,0.007475424669929667,0.31666666666666665,0.0,0.0,60
110,1,2,L1H2,-0.001116678871451531,-0.0007978014584387868,0.002728018471512827,-0.014279238440616501,0.0030887277692882922,0.3,0.0,0.0,60
111,1,8,L1H8,-0.0012577473904441885,-0.0013489726168170839,0.0037974152979071245,-0.008639997449447247,0.01004467201337548,0.35,0.0,0.0,60
112,0,9,L0H9,-0.0013378180190230919,-0.0014151973998606045,0.004271917941517577,-0.017183742001845435,0.010262080939192262,0.3333333333333333,0.0,0.0,60
113,1,1,L1H1,-0.0014453015683787917,0.00030810691900693104,0.008504137360474036,-0.058306890299184046,0.006505009438071729,0.55,0.0,0.0,60
114,11,4,L11H4,-0.0015265547004500973,-0.001516745834434534,0.0034548622897909846,-0.013386982105310925,0.008185310986135086,0.25,0.0,0.0,60
115,3,3,L3H3,-0.0018695971536149985,-0.0018080642397874198,0.008160895514219151,-0.023579745252793622,0.0220988213961922,0.36666666666666664,0.0,0.0,60
116,10,8,L10H8,-0.001956742618547973,-0.0015942845816506671,0.0029025668558081046,-0.017962375339981868,0.0018805538334366605,0.18333333333333332,0.0,0.0,60
117,4,4,L4H4,-0.0022596659636727025,-0.0018915368902762486,0.00406363639929559,-0.013939256572982775,0.009139770025624659,0.26666666666666666,0.0,0.0,60
118,7,0,L7H0,-0.0025062699907531533,-0.001756917167730204,0.004676270062994384,-0.014505893019038985,0.0077596839919436686,0.2833333333333333,0.0,0.0,60
119,3,8,L3H8,-0.0027306853019035027,-0.003256876719781567,0.005952337736718314,-0.015633318813222982,0.02232547597461469,0.2833333333333333,0.0,0.0,60
120,10,3,L10H3,-0.002890235794059503,-0.003270216978031818,0.004319896466860468,-0.012143449962870747,0.013990493903699112,0.18333333333333332,0.0,0.0,60
121,5,10,L5H10,-0.003238759426567196,0.0016339914011670995,0.035990925234658085,-0.2319242973708069,0.04513602007405367,0.5166666666666667,0.0,0.0,60
122,2,6,L2H6,-0.0035963018074585645,-0.00412220308474236,0.012161389490943727,-0.026490328717894515,0.07071622846781506,0.18333333333333332,0.0,0.0,60
123,3,2,L3H2,-0.003608985562279375,-0.0023916418045982018,0.012526091263314984,-0.09003853127833182,0.0231494231769638,0.21666666666666667,0.0,0.0,60
124,11,0,L11H0,-0.0036209501249585318,-0.0018642065501293667,0.013963993677025544,-0.08833862194016319,0.012565723086727919,0.4166666666666667,0.0,0.0,60
125,9,0,L9H0,-0.004036655343021054,-0.0007200717254571136,0.02933807096704399,-0.20047597461468722,0.026720566281429794,0.4,0.0,0.0,60
126,2,8,L2H8,-0.004327599050936643,-0.0031925979597960848,0.008494767878474443,-0.05717361740707162,0.006322890983073409,0.21666666666666667,0.0,0.0,60
127,11,5,L11H5,-0.004498518806608172,-0.00455269413884499,0.004711118489236008,-0.016540084388185654,0.008683377534434083,0.13333333333333333,0.0,0.0,60
128,4,0,L4H0,-0.0046444395302136015,-0.0036147919893697944,0.009356527307103128,-0.053547144152311876,0.01683988434789404,0.25,0.0,0.0,60
129,9,8,L9H8,-0.005773286806167041,-0.0024062961920316315,0.02188850238372395,-0.16687443336355395,0.006688930835874352,0.23333333333333334,0.0,0.0,60
130,3,10,L3H10,-0.007253011449493165,-0.0050836148356314,0.010491160378170881,-0.044049695523118826,0.010950973019192534,0.2,0.0,0.0,60
131,4,3,L4H3,-0.008560694054899808,-0.005647706661421644,0.017539750168775223,-0.1287964641885766,0.010284960622931277,0.16666666666666666,0.0,0.0,60
132,6,11,L6H11,-0.00870406795924619,-0.006012173975056901,0.028522172278196516,-0.16154805077062556,0.03979765492045153,0.4,0.0,0.0,60
133,7,3,L7H3,-0.011330734132625465,-0.01243824717624081,0.009429527941010223,-0.030407516755382197,0.034734814143245696,0.06666666666666667,0.0,0.0,60
134,3,1,L3H1,-0.01191794225226208,-0.01154454620861927,0.01005463953982775,-0.03865870415389494,0.013371855571858597,0.06666666666666667,0.0,0.0,60
135,4,7,L4H7,-0.012625144401817895,-0.01140012560602354,0.008210546324791347,-0.03697536517451595,0.0006752416871160592,0.016666666666666666,0.0,0.0,60
136,5,7,L5H7,-0.012897178660083462,-0.009599102917364162,0.0324047703941719,-0.20472574796010878,0.04734125524710538,0.35,0.0,0.0,60
137,10,7,L10H7,-0.025815434817120186,-0.014218999294620838,0.043828037564238344,-0.3187330009066183,0.001346261477257257,0.05,0.0,0.0,60
138,8,8,L8H8,-0.02750619745601357,-0.02895373292733866,0.028914904876020827,-0.14806210335448777,0.024644044785481666,0.15,0.0,0.0,60
139,6,6,L6H6,-0.027756849386867698,-0.024546082577139076,0.02947224520580073,-0.09060516772438804,0.04159638821604758,0.16666666666666666,0.0,0.0,60
140,6,5,L6H5,-0.05386077109527097,-0.0550704734219898,0.036643027949346214,-0.1455296469020653,0.09598821396192203,0.03333333333333333,0.0,0.0,60
141,9,5,L9H5,-0.06229654021501183,-0.04876086547345962,0.051405045360297136,-0.40350181323662737,-0.022527799530148787,0.0,0.0,0.0,60
142,8,10,L8H10,-0.06533738326828435,-0.0628972684191227,0.015693124525055092,-0.10941749773345422,-0.03636415606688581,0.0,0.0,0.0,60
143,7,6,L7H6,-0.0791671914093297,-0.08072406154247662,0.03953575874097626,-0.15690077150430637,0.02251887457875075,0.05,0.0,0.0,60
144,9,7,L9H7,-0.12296235003845352,-0.11180898232581074,0.05228950973219691,-0.37686990027198547,-0.04374158815612382,0.0,0.0,0.0,60
