rank,layer,head,head_label,mean_recovery,median_recovery,max_recovery,min_recovery,mean_patched_ld,valid_pairs,total_pairs
60,0,7,L0H7,0.0015089098919812526,0.0012557579875633017,0.007127186029700835,-0.002027322782039763,-0.06103858947753906,20,20
61,1,5,L1H5,0.0014109747751782798,0.001668230524204836,0.004400211947381758,-0.009168959963476341,-0.06095542907714844,20,20
62,9,11,L9H11,0.001157304677737774,0.0011548798027815094,0.002687490791218506,-0.0009212456210528868,-0.06132774353027344,20,20
63,5,3,L5H3,0.0011354145563052327,0.0017879225994990842,0.014269531982169197,-0.0129100985377855,-0.06081733703613281,20,20
64,0,1,L0H1,0.001124189944423926,-7.68384107666905e-06,0.018020874285062077,-3.4371052699416554e-05,-0.06181488037109375,20,20
65,7,4,L7H4,0.001030228669770669,0.0009167056572334698,0.004425103293156981,-0.0010399097054011896,-0.061508560180664064,20,20
66,2,3,L2H3,0.0010112434867535652,0.0012045013735961165,0.005102863593429631,-0.003858714263044041,-0.06136665344238281,20,20
67,7,11,L7H11,0.0009933892748832903,0.0013482422426342423,0.004585355260630256,-0.002443108223375912,-0.061498260498046874,20,20
68,1,10,L1H10,0.000966297262929617,0.0009176151827802468,0.00937186917428633,-0.004237667978713867,-0.061733245849609375,20,20
69,0,0,L0H0,0.000825592646091555,0.0015877977384016933,0.0057424615968139575,-0.006201412755380264,-0.06136817932128906,20,20
70,5,4,L5H4,0.0006741230341681937,0.0004896451691602325,0.005056030591109459,-0.00461041184675392,-0.06193046569824219,20,20
71,2,2,L2H2,0.0006121006133321475,0.0005505498931134206,0.006302867360785259,-0.002169542954674758,-0.062055206298828124,20,20
72,1,1,L1H1,0.0005584606341345232,0.0010818436857334495,0.0059667795516852125,-0.00990450585266255,-0.062014007568359376,20,20
73,11,2,L11H2,0.0004914962580072132,0.000716446423663224,0.0027723192947049762,-0.0023803756817479473,-0.06205253601074219,20,20
74,7,9,L7H9,0.00048491703064387304,0.0007472892048687935,0.005347510292659374,-0.005056030591109459,-0.06175727844238281,20,20
75,4,10,L4H10,0.00044988409524107626,-0.00011634954591415331,0.0042036021926389975,-0.0012036905606813344,-0.06219940185546875,20,20
76,8,1,L8H1,0.0004131022476012567,0.000324731987958707,0.0024142696040280183,-0.001103070414681746,-0.06218223571777344,20,20
77,3,0,L3H0,0.00040956749464820727,0.00038473979142157903,0.004755684628359099,-0.0013446446470919003,-0.06219749450683594,20,20
78,2,4,L2H4,0.00039727572132905247,0.0013299075165472418,0.006857152402508999,-0.009497439787597194,-0.061890029907226564,20,20
79,3,11,L3H11,0.00035976971157435875,0.0020726810972590665,0.009359068808015323,-0.014290076978970313,-0.061394882202148435,20,20
80,5,8,L5H8,0.0003289502245815643,0.0008811722897970244,0.002563729590166915,-0.004296381587427069,-0.06216011047363281,20,20
81,0,2,L0H2,0.00023749502946952714,0.0001988748783768273,0.0055673214715990516,-0.0032943995208146153,-0.06227035522460937,20,20
82,5,5,L5H5,0.00021567803953190102,0.00018107638195449398,0.0006175301367571949,-0.00017539610286563823,-0.06232872009277344,20,20
83,7,10,L7H10,7.912040930000147e-05,6.91064795792968e-05,0.0004058184216199764,-1.8182479362885923e-05,-0.06249809265136719,20,20
84,4,5,L4H5,5.8423714305546854e-05,0.00012337308666899162,0.004404548697564029,-0.003976886295317554,-0.06265068054199219,20,20
85,0,5,L0H5,5.797893259668634e-05,1.7798269884357837e-05,0.0007101822378349587,-0.00015883352658079068,-0.06252479553222656,20,20
86,7,2,L7H2,2.7730689943125507e-05,7.600506456914137e-06,0.0002316740556649572,-8.736294937317084e-05,-0.062548828125,20,20
