pair_id,domain,layer,head,head_label,position,clean_token,corrupted_token,difference_norm,absolute_difference,signed_difference
11,movie,8,9,L8H9,1,Review,Review,0.0,0.0,0.0
11,movie,8,9,L8H9,2,:,:,0.0,0.0,0.0
11,movie,8,9,L8H9,3, The, The,0.0,0.0,0.0
11,movie,8,9,L8H9,4, screenplay, screenplay,0.0,0.0,0.0
11,movie,8,9,L8H9,5, was, was,0.0,0.0,0.0
11,movie,8,9,L8H9,6, impressive, disappointing,0.2827039361000061,0.027694500982761383,0.0035982660483568907
11,movie,8,9,L8H9,7,.,.,0.2765752971172333,0.026839036494493484,0.002502873307093978
11,movie,8,9,L8H9,8,"
","
",0.27924585342407227,0.027561869472265244,0.005625154357403517
11,movie,8,9,L8H9,9,Sent,Sent,0.2183201164007187,0.021788159385323524,0.003254919545724988
11,movie,8,9,L8H9,10,iment,iment,0.4256984293460846,0.04318619146943092,0.0020679496228694916
11,movie,8,9,L8H9,11,:,:,0.8890833854675293,0.09074845165014267,0.012896032072603703
11,movie,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0,0.0,0.0
11,movie,9,2,L9H2,1,Review,Review,0.0,0.0,0.0
11,movie,9,2,L9H2,2,:,:,0.0,0.0,0.0
11,movie,9,2,L9H2,3, The, The,0.0,0.0,0.0
11,movie,9,2,L9H2,4, screenplay, screenplay,0.0,0.0,0.0
11,movie,9,2,L9H2,5, was, was,0.0,0.0,0.0
11,movie,9,2,L9H2,6, impressive, disappointing,0.035953398793935776,0.003596681170165539,7.643879507668316e-05
11,movie,9,2,L9H2,7,.,.,0.28729405999183655,0.029166635125875473,-0.0016348259523510933
11,movie,9,2,L9H2,8,"
","
",0.04578765109181404,0.004829423502087593,0.00036822102265432477
11,movie,9,2,L9H2,9,Sent,Sent,0.3047509491443634,0.030115239322185516,-0.0036460687406361103
11,movie,9,2,L9H2,10,iment,iment,0.4395589828491211,0.04412394016981125,-0.0016514314338564873
11,movie,9,2,L9H2,11,:,:,1.1609903573989868,0.11731266975402832,-0.0034996969625353813
