pair_id,domain,condition,n_heads,heads,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
43,software,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.1728744506835938,0.3544464111328125,0.68524169921875,0.8184280395507812,0.40418371817698767
44,software,L10H4,1,L10H4,1.087127685546875,0.04986572265625,0.1077880859375,1.037261962890625,0.05584159581040925
44,software,L8H9,1,L8H9,1.087127685546875,0.04986572265625,0.194427490234375,1.037261962890625,0.13936861925917207
44,software,L9H2,1,L9H2,1.087127685546875,0.04986572265625,0.133636474609375,1.037261962890625,0.08076142281326311
44,software,L10H4 + L8H9,2,L10H4 + L8H9,1.087127685546875,0.04986572265625,0.2496490478515625,1.037261962890625,0.1926064314925417
44,software,L10H4 + L9H2,2,L10H4 + L9H2,1.087127685546875,0.04986572265625,0.18988800048828125,1.037261962890625,0.13499220335991055
44,software,L8H9 + L9H2,2,L8H9 + L9H2,1.087127685546875,0.04986572265625,0.27569580078125,1.037261962890625,0.21771749683721203
44,software,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.087127685546875,0.04986572265625,0.32915496826171875,1.037261962890625,0.2692562299567507
45,software,L10H4,1,L10H4,1.359283447265625,0.02471160888671875,0.3205108642578125,1.3345718383789062,0.22164356152636844
45,software,L8H9,1,L8H9,1.359283447265625,0.02471160888671875,0.14389801025390625,1.3345718383789062,0.0893068457910533
45,software,L9H2,1,L9H2,1.359283447265625,0.02471160888671875,0.186279296875,1.3345718383789062,0.12106331284836358
45,software,L10H4 + L8H9,2,L10H4 + L8H9,1.359283447265625,0.02471160888671875,0.44423675537109375,1.3345718383789062,0.31435186508503643
45,software,L10H4 + L9H2,2,L10H4 + L9H2,1.359283447265625,0.02471160888671875,0.483428955078125,1.3345718383789062,0.3437187366014006
45,software,L8H9 + L9H2,2,L8H9 + L9H2,1.359283447265625,0.02471160888671875,0.302490234375,1.3345718383789062,0.2081406316992997
45,software,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.359283447265625,0.02471160888671875,0.6038894653320312,1.3345718383789062,0.4339802772616836
46,software,L10H4,1,L10H4,0.967254638671875,0.46288299560546875,0.4827423095703125,0.5043716430664062,0.03937436657641168
46,software,L8H9,1,L8H9,0.967254638671875,0.46288299560546875,0.5719146728515625,0.5043716430664062,0.21617328956722986
46,software,L9H2,1,L9H2,0.967254638671875,0.46288299560546875,0.4864959716796875,0.5043716430664062,0.04681662103495742
46,software,L10H4 + L8H9,2,L10H4 + L8H9,0.967254638671875,0.46288299560546875,0.5887374877929688,0.5043716430664062,0.24952729582961472
46,software,L10H4 + L9H2,2,L10H4 + L9H2,0.967254638671875,0.46288299560546875,0.5055923461914062,0.5043716430664062,0.08467833426613623
